Promoter 1,0.001068866220899019
Promoter 2,0.0005824502674318788
Promoter 3,0.000435312491925366
Promoter 4,4.636634291571087e-05
Promoter 5,0.00014642003026013958
Promoter 6,9.96948147212421e-05
Promoter 7,5.928575735042907e-05
Promoter 8,0.00030382156278978967
Promoter 9,2.239365168684488e-05
Promoter 10,0.0002554455331842337
Promoter 11,0.0002479809826219521
Promoter 12,0.0008572031477435525
Promoter 13,0.00026972866358706106
Promoter 14,6.007527712143962e-05
Promoter 15,0.00012668203598487567
Promoter 16,6.818579840545716e-06
Promoter 17,0.00027884402821600114
Promoter 18,0.00048053044244687965
Promoter 19,0.0004274172942152604
Promoter 20,3.818404710705601e-05
Promoter 21,5.8209139480869215e-05
Promoter 22,8.433506644885491e-05
Promoter 23,0.001160306965286969
Promoter 24,2.935578057666524e-05
Promoter 25,0.0005535969085276748
Promoter 26,0.0026819268875982235
Promoter 27,0.00019795413894973772
Promoter 28,0.0007910270360279404
Promoter 29,0.00021159129863082917
Promoter 30,0.00021518002486269533
Promoter 31,5.863978662869316e-05
Promoter 32,6.567369004315084e-05
Promoter 33,0.00018237906710343857
Promoter 34,1.794363115933083e-05
Promoter 35,0.00011562875919072787
Promoter 36,0.00020577756213520598
Promoter 37,0.00014469744166884383
Promoter 38,3.8973566878066563e-05
Promoter 39,8.756492005753446e-06
Promoter 40,2.691544673899625e-05
Promoter 41,5.2754275608432645e-05
Promoter 42,6.222851286055932e-05
Promoter 43,1.5575071846299163e-05
Promoter 44,0.0006759724730343111
Promoter 45,0.00011814086755303419
Promoter 46,0.00037652915624739817
Promoter 47,5.59841292171122e-06
Promoter 48,0.00021489292676414603
Promoter 49,0.00011806909302839687
Promoter 50,0.0001892694214686216
Promoter 51,0.0011534166109217858
Promoter 52,0.0002249413602133713
Promoter 53,2.2824298834668816e-05
Promoter 54,0.00029499329625939886
Promoter 55,5.9070433776517095e-05
Promoter 56,0.00011756667135593561
Promoter 57,0.00015854992492384722
Promoter 58,0.0001975234918019138
Promoter 59,7.371243680253105e-05
Promoter 60,0.00022221392827715303
Promoter 61,3.0145300347675797e-05
Promoter 62,3.481064444910181e-05
Promoter 63,4.048083189545036e-05
Promoter 64,4.3064714782393995e-07
Promoter 65,4.3064714782393995e-07
Promoter 66,1.9522670701351944e-05
Promoter 67,7.608099611556272e-06
Promoter 68,1.751298401150689e-05
Promoter 69,6.0290600695351595e-05
Promoter 70,0.00020254770852652643
Promoter 71,4.650989196498551e-05
Promoter 72,0.00045799324171076015
Promoter 73,0.00010306821737919629
Promoter 74,1.6579915191221687e-05
Promoter 75,0.00015187489413257617
Promoter 76,0.00022788411572350156
Promoter 77,0.00022565910545974455
Promoter 78,0.0003466709539982717
Promoter 79,0.00016099025876151622
Promoter 80,0.0006095092632201497
Promoter 81,0.0002732456152942899
Promoter 82,0.00015453055154415713
Promoter 83,3.9188890451978535e-05
Promoter 84,6.352045430403115e-05
Promoter 85,0.0006851596121878885
Promoter 86,0.00013708934205728757
Promoter 87,0.0006021882617071427
Promoter 88,0.0002156824465351566
Promoter 89,0.0007188936387674304
Promoter 90,4.112680261718627e-05
Promoter 91,1.9522670701351944e-05
Promoter 92,0.0010408741562904628
Promoter 93,0.000255732631282783
Promoter 94,0.00011146583676176313
Promoter 95,9.287623488069639e-05
Promoter 96,0.00010701581623424909
Promoter 97,0.0001403191956659671
Promoter 98,5.605590374174952e-05
Promoter 99,0.0009612762084676714
Promoter 100,9.35222056024323e-05
Promoter 101,8.419151739958026e-05
Promoter 102,7.005193604602756e-05
Promoter 103,0.001882645781236991
Promoter 104,8.354554667784435e-05
Promoter 105,0.0002917634426507193
Promoter 106,3.301628133316873e-05
Promoter 107,0.00013558207703990376
Promoter 108,2.6843672214358925e-05
Promoter 109,4.421310717659117e-05
Promoter 110,0.00010113030521398857
Promoter 111,6.962128889820362e-05
Promoter 112,7.428663299962964e-05
Promoter 113,0.00022544378188583256
Promoter 114,0.0004409826793717145
Promoter 115,0.00018065647851214282
Promoter 116,7.766003565758384e-05
Promoter 117,0.00019242750055266383
Promoter 118,0.0
Promoter 119,0.000208002572398963
